Pclass,Age,SibSp,Parch,Fare,male,C,Q,S,Survived
3,24,0,0,8,0,0,1,0,1
1,49,1,1,111,1,1,0,0,0
3,42,0,0,8,1,0,0,1,0
1,18,1,0,228,0,1,0,0,1
1,35,0,0,26,1,0,0,1,1
3,18,0,1,14,0,1,0,0,0
3,25,0,0,8,1,0,1,0,0
3,26,1,0,8,1,0,0,1,0
2,39,0,0,26,1,0,0,1,0
2,45,0,0,14,0,0,0,1,1
1,42,0,0,26,1,0,0,1,1
1,22,0,0,152,0,0,0,1,1
3,24,1,1,15,1,1,0,0,1
1,24,0,0,50,0,1,0,0,1
1,37,0,0,27,1,0,0,1,0
1,48,1,0,52,1,0,0,1,1
3,29,0,0,9,1,0,0,1,0
2,52,0,0,13,1,0,0,1,0
3,19,0,0,8,1,0,0,1,0
1,38,0,0,228,0,1,0,0,1
2,27,0,0,11,0,0,0,1,1
3,24,0,0,16,1,0,1,0,0
3,33,0,0,8,1,0,0,1,0
2,6,0,1,33,0,0,0,1,1
3,17,1,0,7,1,0,0,1,0
2,34,0,0,13,1,0,0,1,0
2,50,0,0,13,1,0,0,1,0
1,27,1,0,53,1,0,0,1,1
3,20,0,0,9,1,0,0,1,0
2,30,3,0,21,0,0,0,1,1
3,24,0,0,8,0,0,1,0,1
2,25,1,0,26,1,0,0,1,0
3,25,1,0,8,0,0,0,1,0
1,29,0,0,211,0,0,0,1,1
3,11,0,0,19,1,1,0,0,0
2,29,0,0,0,1,0,0,1,0
2,23,0,0,13,1,0,0,1,0
2,23,0,0,13,1,0,0,1,0
3,29,0,0,16,1,0,0,1,0
3,48,1,3,34,0,0,0,1,0
1,35,0,0,512,1,1,0,0,1
3,24,0,0,8,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
1,37,0,0,30,1,0,0,1,1
1,36,1,0,79,1,0,0,1,0
1,21,2,2,262,0,1,0,0,1
3,24,1,0,16,1,0,0,1,0
3,31,0,0,8,1,0,0,1,1
1,70,1,1,71,1,0,0,1,0
3,16,1,1,20,1,0,0,1,0
2,30,0,0,13,0,0,0,1,1
1,19,1,0,53,1,0,0,1,0
3,31,0,0,8,1,0,1,0,0
2,4,1,1,23,0,0,0,1,1
3,6,0,1,12,1,0,0,1,1
3,33,0,0,10,1,0,0,1,0
3,23,0,0,8,1,0,0,1,0
2,48,1,2,65,0,0,0,1,1
2,1,1,1,15,1,0,0,1,1
3,28,0,0,8,1,0,0,1,0
2,18,0,0,12,1,0,0,1,0
3,34,0,0,8,1,0,0,1,0
1,33,0,0,87,0,0,0,1,1
3,24,0,0,15,1,0,0,1,0
3,41,0,0,7,1,0,0,1,0
3,20,0,0,7,1,1,0,0,1
1,36,1,2,120,0,0,0,1,1
3,16,0,0,8,1,0,0,1,0
1,51,1,0,78,0,0,0,1,1
1,37,0,0,40,1,1,0,0,0
3,31,0,0,8,0,0,1,0,0
3,24,1,0,24,1,0,1,0,0
3,32,0,0,8,1,0,0,1,0
3,24,0,0,10,1,0,0,1,0
3,48,0,0,8,1,0,0,1,0
2,57,0,0,11,0,0,0,1,0
3,24,0,0,7,1,1,0,0,0
2,54,1,3,23,0,0,0,1,1
3,18,0,0,8,1,0,0,1,0
3,24,0,0,8,1,0,1,0,0
3,5,0,0,12,0,0,0,1,1
3,24,0,0,8,1,0,1,0,0
1,43,0,1,211,0,0,0,1,1
3,13,0,0,7,0,1,0,0,1
1,17,1,0,57,0,0,0,1,1
1,29,0,0,30,1,0,0,1,0
3,24,1,2,23,1,0,0,1,0
3,25,0,0,7,1,0,0,1,0
3,25,0,0,7,1,0,0,1,0
3,18,0,0,7,0,0,0,1,1
3,8,4,1,29,1,0,1,0,0
3,1,1,2,21,1,0,0,1,1
1,46,0,0,79,1,1,0,0,0
3,24,0,0,8,1,0,1,0,0
2,16,0,0,26,1,0,0,1,0
3,24,8,2,70,0,0,0,1,0
1,37,0,0,31,1,1,0,0,0
3,25,0,0,8,1,0,0,1,0
2,39,0,0,13,1,0,0,1,0
1,49,0,0,26,0,0,0,1,1
3,31,0,0,9,0,0,0,1,1
3,30,0,0,7,1,1,0,0,0
3,30,1,1,24,0,0,0,1,0
2,34,0,0,13,1,0,0,1,0
2,31,1,1,26,0,0,0,1,1
1,11,1,2,120,1,0,0,1,1
3,0,0,1,9,1,1,0,0,1
3,27,0,0,7,1,0,0,1,1
3,31,0,0,8,1,0,0,1,0
1,39,0,0,0,1,0,0,1,0
3,18,0,0,8,0,0,0,1,0
2,39,0,0,13,1,0,0,1,0
1,33,1,0,53,0,0,0,1,1
3,26,0,0,8,1,0,0,1,0
3,39,0,0,24,1,0,0,1,0
2,35,0,0,11,1,0,0,1,0
3,6,4,2,31,0,0,0,1,0
3,31,0,0,8,1,0,0,1,0
1,37,0,0,0,1,0,0,1,0
3,23,0,0,8,0,0,0,1,0
2,31,1,1,37,1,1,0,0,0
3,43,0,0,6,1,0,0,1,0
3,10,3,2,28,1,0,0,1,0
1,52,1,1,94,0,0,0,1,1
3,27,0,0,9,1,0,0,1,1
1,38,0,0,0,1,0,0,1,0
3,27,0,1,12,0,0,0,1,1
3,2,4,1,40,1,0,0,1,0
3,24,0,0,7,1,0,1,0,0
3,24,0,0,56,1,0,0,1,0
2,1,0,2,37,1,1,0,0,1
3,24,0,0,8,1,0,1,0,1
1,62,0,0,80,0,0,0,0,1
3,15,1,0,14,0,1,0,0,1
2,29,1,1,19,1,0,0,1,1
3,24,0,0,7,1,1,0,0,0
3,23,0,0,8,1,0,0,1,0
3,18,0,0,8,1,0,0,1,0
1,39,1,1,83,0,1,0,0,1
3,21,0,0,9,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
3,32,0,0,56,1,0,0,1,1
1,37,0,0,30,1,1,0,0,1
3,20,0,0,8,1,0,0,1,0
2,16,0,0,11,1,0,0,1,0
1,30,0,0,31,0,1,0,0,1
3,35,0,0,6,1,1,0,0,0
3,17,0,0,9,1,0,0,1,0
3,42,0,0,8,1,0,0,1,0
3,24,8,2,70,1,0,0,1,0
3,35,0,0,8,1,1,0,0,0
2,28,0,1,33,1,0,0,1,0
1,37,1,0,89,0,1,0,0,1
3,4,4,2,31,1,0,0,1,0
3,74,0,0,8,1,0,0,1,0
3,9,1,1,15,0,1,0,0,0
1,16,0,1,39,0,0,0,1,1
2,44,1,0,26,0,0,0,1,0
3,18,0,1,9,0,0,0,1,1
1,45,1,1,165,0,0,0,1,1
1,51,0,0,27,1,0,0,1,1
3,24,0,3,19,0,1,0,0,1
3,24,0,0,7,1,1,0,0,0
3,41,2,0,14,1,0,0,1,0
2,21,1,0,12,1,0,0,1,0
1,48,0,0,26,0,0,0,1,1
3,24,8,2,70,0,0,0,1,0
2,24,0,0,13,1,0,0,1,0
2,42,0,0,13,0,0,0,1,1
2,27,1,0,14,0,1,0,0,1
1,31,0,0,50,1,0,0,1,0
3,24,0,0,10,1,0,0,1,0
3,4,1,1,11,1,0,0,1,1
3,26,0,0,8,1,0,0,1,0
1,47,1,1,53,0,0,0,1,1
1,33,0,0,5,1,0,0,1,0
3,47,0,0,9,1,0,0,1,0
2,28,1,0,24,0,1,0,0,1
3,15,0,0,7,0,1,0,0,1
3,20,0,0,10,1,0,0,1,0
3,19,0,0,8,1,0,0,1,0
3,24,0,0,8,1,0,0,1,0
1,56,0,1,83,0,1,0,0,1
2,25,0,1,26,0,0,0,1,1
3,33,0,0,8,1,0,0,1,0
3,22,0,0,11,0,0,0,1,0
2,28,0,0,11,1,0,0,1,0
3,25,0,0,7,1,0,0,1,0
3,39,0,5,29,0,0,1,0,0
2,27,0,0,13,1,0,0,1,0
1,19,0,0,30,0,0,0,1,1
3,24,1,2,23,0,0,0,1,0
1,26,0,0,30,1,1,0,0,1
3,32,0,0,8,1,0,1,0,0
